"OBJECTID_1.N.10.0","OBJECTID.N.10.0","FID_1.N.10.0","Name.C.10","SDE_STATE_.N.19.8","ORIG_FID.N.10.0","Distance.N.19.8","Zip_Num.N.10.0","Shape_area.N.19.11","Shape_len.N.19.11","burg.counts","avg.burg.counts","zip.tot.area","num.zip.regions","Total.Exemptions","Total.Returns","Percent.agi1","Percent.agi2","Percent.agi3","Percent.agi4","Percent.agi5","Percent.agi6","Total.Income","X18.24.No.High.school.2015","X25..Less.than.9th.Grade.2015","X25..9th.12th.but.No.Diploma.2015","X25..No.Diploma.2015","X2015.Median.Family.Income","X2015.Poverty.All.Families","X2015.Families.no.husband","X2015.Housing.Units"
20,206,19,90026,0,8523,0,90026,113995381.62,71368.2520479,363,362.29,114217283.680975,2,53830,31610,0.452388484656754,0.268585890540968,0.119898766213224,0.061056627649478,0.0724454286618159,0.0256248022777602,1533521,1407,7365,4715,12080,44808,0.202,0.322,26715
21,263,20,90027,0,8524,0,90027,237072408.998,84968.8544935,334,334,237072408.998,1,35840,23950,0.377035490605428,0.237995824634656,0.146137787056367,0.0772442588726514,0.0993736951983299,0.0622129436325679,1887890,173,2612,1650,4262,60527,0.145,0.267,23454
22,217,21,90028,0,8525,0,90028,43204184.9994,44736.1211853,76,76,43204184.9994,1,21170,15120,0.497354497354497,0.274470899470899,0.107804232804233,0.0489417989417989,0.0529100529100529,0.0185185185185185,662501,592,1976,1732,3708,42259,0.16,0.27,18062
23,213,22,90031,0,8527,0,90031,104912883.361,95789.1189473,115,115,104912883.361,1,34070,16500,0.54,0.279393939393939,0.0987878787878788,0.0387878787878788,0.0381818181818182,0.00484848484848485,557076,838,7909,3813,11722,35371,0.275,0.353,12118
24,181,23,90033,0,8529,0,90033,85741188.5955,58854.4215831,131,131,85741188.5955,1,40420,17280,0.607638888888889,0.276041666666667,0.0758101851851852,0.0237268518518519,0.0144675925925926,0.00231481481481481,472349,1784,9564,5446,15010,31074,0.346,0.496,13948
25,144,24,90034,0,8530,0,90034,86484843.9173,59999.8016985,257,257,86484843.9173,1,50000,30480,0.327755905511811,0.270341207349081,0.163713910761155,0.0905511811023622,0.105643044619423,0.041994750656168,2017934,399,2556,2117,4673,69622,0.124,0.222,27422
26,177,25,90035,0,8531,0,90035,57147791.9093,48638.6996978,259,259,57147791.9093,1,25010,14170,0.302752293577982,0.207480592801694,0.141143260409315,0.0938602681721948,0.155257586450247,0.0995059985885674,1409704,68,821,558,1379,94325,0.069,0.157,14154
27,196,26,90036,0,8532,0,90036,69427606.1942,54557.9782153,324,324,69427606.1942,1,30810,19300,0.273575129533679,0.216062176165803,0.158549222797927,0.105181347150259,0.161139896373057,0.0854922279792746,2072672,63,417,378,795,88875,0.08,0.16,20175
28,120,27,90037,0,8533,0,90037,75682931.8115,55435.8643965,331,331,75682931.8115,1,54230,23750,0.64,0.266526315789474,0.0669473684210526,0.0172631578947368,0.00926315789473684,0,585319,2236,11892,6726,18618,28958,0.388,0.507,17943
29,204,28,90038,0,8534,0,90038,42482627.4823,46587.175519,101,101,42482627.4823,1,22900,13280,0.518825301204819,0.293674698795181,0.0941265060240964,0.0384036144578313,0.0406626506024096,0.0143072289156626,501068,597,3397,2142,5539,35559,0.269,0.403,12847
30,252,29,90039,0,8535,0,90039,113027302.429,72032.4106225,181,180.97,113047928.528696,2,25580,15080,0.331564986737401,0.240053050397878,0.142572944297082,0.0915119363395226,0.130636604774536,0.0636604774535809,1095125,273,1746,1312,3058,73014,0.09,0.164,12443
31,195,30,90048,0,8544,0,90048,51452137.2446,50423.32727,250,250,51452137.2446,1,18620,12960,0.261574074074074,0.196759259259259,0.155864197530864,0.100308641975309,0.165123456790123,0.12037037037037,1537716,31,414,357,771,108068,0.039,0.135,13016
32,234,31,90049,0,8545,0,90049,434556709.12,131507.325949,363,363,434556709.12,1,30020,18520,0.205723542116631,0.140928725701944,0.120410367170626,0.08585313174946,0.177645788336933,0.269438444924406,6487071,84,215,393,608,182409,0.029,0.105,17968
33,190,32,90057,0,8547,0,90057,25847920.5604,32088.2536934,36,36,25847920.5604,1,31290,15290,0.624591236102027,0.266187050359712,0.0699803793328973,0.0209287115761936,0.0163505559189012,0.00196206671026815,406045,1551,10302,4146,14448,29276,0.335,0.495,17502
34,124,33,90058,0,8548,0,90058,131599908.741,97032.2569514,24,24,131599908.741,1,3450,1460,0.650684931506849,0.212328767123288,0.0479452054794521,0.0273972602739726,0.0273972602739726,0.0342465753424658,100792,171,685,290,975,16031,0.591,0.672,855
35,80,34,90061,0,8550,0,90061,76429458.674,61942.5576034,182,182,76429458.674,1,26200,11280,0.589539007092199,0.275709219858156,0.0895390070921986,0.0283687943262411,0.0150709219858156,0.00177304964539007,323032,1049,3874,2381,6255,37863,0.31,0.425,7656
36,121,35,90062,0,8551,0,90062,52653169.0783,42995.9718944,305,305,52653169.0783,1,29080,14020,0.553495007132668,0.29243937232525,0.0991440798858773,0.0335235378031384,0.021398002853067,0,413167,1152,5209,3283,8492,38583,0.264,0.405,10099
37,178,36,90063,0,8552,0,90063,92862587.2222,70244.7146917,39,39,92862587.2222,1,49450,20880,0.550766283524904,0.300287356321839,0.0996168582375479,0.0311302681992337,0.0167624521072797,0.0014367816091954,622160,1568,11612,5631,17243,42234,0.24,0.354,14305
38,155,37,90064,0,8553,0,90064,110209009.191,72422.7993279,381,381,110209009.191,1,25740,14460,0.259336099585062,0.168741355463347,0.123789764868603,0.0857538035961272,0.171507607192254,0.190871369294606,2844253,99,348,437,785,110253,0.04,0.11,11292
39,238,38,90065,0,8554,0,90065,144869716.039,92048.3735869,241,241,144869716.039,1,41590,21170,0.414737836561171,0.252716107699575,0.121398205007085,0.0680207841284837,0.110533774208786,0.0325932923948984,1169489,780,5500,3923,9423,55849,0.175,0.295,15918
40,128,39,90066,0,8555,0,90066,139323658.204,78454.3092927,455,455,139323658.204,1,49070,28440,0.304149085794655,0.226793248945148,0.144866385372714,0.0910689170182841,0.149085794655415,0.0840365682137834,2489084,485,3232,2272,5504,80991,0.083,0.19,25557
41,179,40,90067,0,8556,0,90067,10352389.2352,16018.5205686,4,4,10352389.2352,1,5220,3180,0.179245283018868,0.0911949685534591,0.0943396226415094,0.0534591194968553,0.163522012578616,0.418238993710692,2622458,0,53,9,62,118426,0.057,0.3,1941
42,218,41,90069,0,8558,0,90069,60002446.8408,50044.8856433,93,93,60002446.8408,1,17500,13840,0.249277456647399,0.187861271676301,0.147398843930636,0.107658959537572,0.171965317919075,0.135838150289017,2296209,13,433,156,589,120216,0.021,0.118,13783
43,156,42,90071,0,8559,0,90071,4021619.22134,9341.2823012,1,1,4021619.22134,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
44,183,43,90073,0,8560,0,90073,17710234.2385,27872.5968839,0,0,17710234.2385,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,126,44,90089,0,8562,0,90089,6887030.68234,13105.1809949,4,4,6887030.68234,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,5
46,191,45,90095,0,8564,0,90095,8848446.20612,14704.3722804,0,0,8848446.20612,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,189,46,90211,0,8567,0,90211,19539168.93,25815.0245241,15,15,19539168.93,1,9630,5440,0.279411764705882,0.169117647058824,0.117647058823529,0.0863970588235294,0.154411764705882,0.193014705882353,1777179,67,80,114,194,106200,0.056,0.166,4017
48,184,47,90212,0,8568,0,90212,25217769.7806,29508.0892549,1,1,25217769.7806,1,12650,7490,0.271028037383178,0.146862483311081,0.113484646194927,0.0934579439252336,0.160213618157543,0.214953271028037,2978998,55,62,202,264,124697,0.05,0.173,6134
49,68,48,90221,0,8570,0,90221,149411164.977,87036.1846723,0,0,149411164.977,1,53090,21560,0.555194805194805,0.298237476808905,0.0950834879406308,0.0338589981447124,0.0162337662337662,0.00139146567717996,637516,NA,NA,NA,NA,NA,NA,NA,NA
50,73,49,90222,0,8571,0,90222,71832592.9955,50923.3076544,0,0,71832592.9955,1,29960,12450,0.54859437751004,0.293975903614458,0.107630522088353,0.0329317269076305,0.0168674698795181,0,367980,NA,NA,NA,NA,NA,NA,NA,NA
51,118,50,90230,0,8572,0,90230,119029469.094,74732.7153531,138,138,119029469.094,1,29240,15840,0.311237373737374,0.190656565656566,0.143939393939394,0.10290404040404,0.183080808080808,0.0681818181818182,1319160,510,1761,937,2698,86046,0.1,0.216,13456
52,94,51,90240,0,8574,0,90240,85994942.4501,57012.6333531,0,0,85994942.4501,1,24750,11760,0.368197278911565,0.232993197278912,0.14030612244898,0.0909863945578231,0.133503401360544,0.0340136054421769,734421,NA,NA,NA,NA,NA,NA,NA,NA
53,86,52,90241,0,8575,0,90241,139480024.58,80974.3554592,0,0,139480024.58,1,42250,20260,0.403751233958539,0.267522211253702,0.140177690029615,0.0765054294175716,0.0937808489634748,0.0182625863770977,1001622,NA,NA,NA,NA,NA,NA,NA,NA
54,77,53,90245,0,8577,0,90245,152744083.546,57456.3537901,0,0,152744083.546,1,17300,9400,0.240425531914894,0.168085106382979,0.147872340425532,0.115957446808511,0.219148936170213,0.108510638297872,1017354,NA,NA,NA,NA,NA,NA,NA,NA
55,71,54,90247,0,8578,0,90247,102966623.682,64033.5361251,97,96.34,103669769.186605,3,45380,22460,0.43766696349065,0.292074799643811,0.139804096170971,0.0658949243098842,0.0592163846838825,0.00534283170080142,906633,718,4401,2878,7279,46007,0.172,0.255,16897
56,69,55,90248,0,8579,0,90248,130724085.859,97834.6788967,79,79,130724085.859,1,10370,5340,0.370786516853933,0.260299625468165,0.151685393258427,0.0861423220973783,0.106741573033708,0.0243445692883895,340742,128,821,592,1413,66056,0.124,0.238,3631
57,145,56,90263,0,8587,0,90263,5983489.10848,12919.4411336,0,0,5983489.10848,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,239,57,90272,0,8591,0,90272,670518033.78,135424.226672,270,270,670518033.78,1,20020,10400,0.219230769230769,0.107692307692308,0.0798076923076923,0.0644230769230769,0.170192307692308,0.358653846153846,4891803,112,124,136,260,212500,0.027,0.183,9817
59,243,58,90290,0,8597,0,90290,539013260.704,115502.601566,0,0,539013260.704,1,5410,2960,0.293918918918919,0.152027027027027,0.10472972972973,0.0945945945945946,0.192567567567568,0.162162162162162,459378,NA,NA,NA,NA,NA,NA,NA,NA
60,117,59,90291,0,8598,0,90291,65731652.8577,42418.357952,350,350,65731652.8577,1,22120,14940,0.284471218206158,0.204149933065596,0.143239625167336,0.0957161981258367,0.164658634538153,0.107764390896921,1736064,78,771,827,1598,94531,0.077,0.187,15533
61,109,60,90292,0,8599,0,90292,68533698.5924,40478.358219,75,75,68533698.5924,1,19300,13320,0.201201201201201,0.146396396396396,0.134384384384384,0.114114114114114,0.245495495495495,0.158408408408408,2184064,137,169,289,458,110355,0.084,0.115,13763
62,91,61,90293,0,8600,0,90293,52607718.0682,62162.239836,90,90,52607718.0682,1,10450,7140,0.19187675070028,0.166666666666667,0.172268907563025,0.140056022408964,0.225490196078431,0.103641456582633,777710,56,286,152,438,114350,0.039,0.034,6880
63,83,62,90304,0,8604,0,90304,42343415.7756,39298.4764069,0,0,45864630.38885,2,26560,11400,0.55,0.314912280701754,0.0850877192982456,0.0298245614035088,0.0175438596491228,0.00263157894736842,337474,NA,NA,NA,NA,NA,NA,NA,NA
64,127,63,90401,0,8606,0,90401,23482354.0029,32708.1377253,0,0,23482354.0029,1,6360,4540,0.277533039647577,0.193832599118943,0.143171806167401,0.10352422907489,0.165198237885463,0.116740088105727,1310990,NA,NA,NA,NA,NA,NA,NA,NA
65,151,64,90402,0,8607,0,90402,54357344.1569,52750.3698077,31,31,54357344.1569,1,9590,5500,0.221818181818182,0.12,0.0872727272727273,0.0654545454545455,0.154545454545455,0.350909090909091,2861475,52,85,76,161,198295,0.031,0.105,5804
66,147,65,90403,0,8608,0,90403,38462217.0597,52882.9219077,0,0,38462217.0597,1,21890,14580,0.222908093278464,0.167352537722908,0.149519890260631,0.114540466392318,0.200960219478738,0.144718792866941,1960499,NA,NA,NA,NA,NA,NA,NA,NA
67,138,66,90404,0,8609,0,90404,53347800.9818,55489.163278,1,1,53347800.9818,1,18170,11440,0.309440559440559,0.233391608391608,0.153846153846154,0.0987762237762238,0.137237762237762,0.0673076923076923,1158924,107,941,772,1713,76379,0.09,0.198,10615
68,129,67,90405,0,8610,0,90405,77301212.4596,49630.0437318,12,12,77301212.4596,1,23780,15270,0.262606417812705,0.174852652259332,0.140144073346431,0.10150622134905,0.180746561886051,0.140144073346431,2147700,39,550,341,891,118980,0.041,0.111,15387
69,47,68,90502,0,8612,0,90502,63125558.9433,42810.2429704,0,0,63125558.9433,1,16480,8450,0.353846153846154,0.241420118343195,0.156213017751479,0.0994082840236686,0.130177514792899,0.0189349112426036,473699,NA,NA,NA,NA,NA,NA,NA,NA
70,55,69,90504,0,8614,0,90504,107746321.164,56122.3737377,0,0,107746321.164,1,33000,16620,0.339350180505415,0.215403128760529,0.140794223826715,0.101684717208183,0.171480144404332,0.0312876052948255,1043940,NA,NA,NA,NA,NA,NA,NA,NA
71,33,70,90505,0,8615,0,90505,163014567.326,77450.5020233,0,0,163014567.326,1,35030,17630,0.269994327850255,0.175269427112876,0.141236528644356,0.108338060124787,0.210436755530346,0.0947249007373795,1634802,NA,NA,NA,NA,NA,NA,NA,NA
72,57,71,90506,0,8616,0,90506,4584443.5876,8510.13892176,0,0,4584443.5876,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,104,72,90602,0,8618,0,90602,73275572.391,85862.8352735,0,0,73275572.391,1,22630,10720,0.409514925373134,0.282649253731343,0.125932835820896,0.0690298507462687,0.0914179104477612,0.021455223880597,527865,NA,NA,NA,NA,NA,NA,NA,NA
74,89,73,90603,0,8619,0,90603,86706259.2448,83436.4595818,0,0,86706259.2448,1,19610,9790,0.300306435137896,0.187946884576098,0.139938712972421,0.120531154239019,0.205311542390194,0.0459652706843718,732164,NA,NA,NA,NA,NA,NA,NA,NA
75,96,74,90605,0,8621,0,90605,172812308.336,141704.540781,0,0,172812308.336,1,40140,18080,0.39712389380531,0.264933628318584,0.133849557522124,0.0873893805309734,0.0956858407079646,0.0210176991150442,969056,NA,NA,NA,NA,NA,NA,NA,NA
76,115,75,90606,0,8622,0,90606,104298634.23,70406.9270227,0,0,104298634.23,1,31250,14530,0.412938747419133,0.280110116999312,0.147969717825189,0.0784583620096352,0.0750172057811425,0.00550584996558844,622776,NA,NA,NA,NA,NA,NA,NA,NA
77,42,77,90623,0,8625,0,90623,1064125.05044,4625.77821984,0,0,1064125.05044,1,15100,7490,0.321762349799733,0.193591455273698,0.132176234979973,0.0987983978638184,0.198931909212283,0.054739652870494,548586,NA,NA,NA,NA,NA,NA,NA,NA
78,32,78,90630,0,8626,0,90630,291271.19442,3315.27358771,0,0,1297899.21718,2,47470,23350,0.314346895074946,0.198715203426124,0.137473233404711,0.106638115631692,0.191006423982869,0.0518201284796574,1731324,NA,NA,NA,NA,NA,NA,NA,NA
79,98,79,90631,0,8627,0,90631,178011708.049,78489.0625978,0,0,178011708.049,1,65940,31260,0.374280230326296,0.242802303262956,0.136916186820218,0.0863723608445297,0.124120281509917,0.0355086372360845,1942715,NA,NA,NA,NA,NA,NA,NA,NA
80,67,80,90639,0,8629,0,90639,3953310.45514,10756.2367058,0,0,3953310.45514,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,78,81,90650,0,8631,0,90650,271506855.599,98199.3032164,0,0,271506855.599,1,100400,45750,0.417486338797814,0.282841530054645,0.148415300546448,0.0791256830601093,0.0681967213114754,0.0039344262295082,1908698,NA,NA,NA,NA,NA,NA,NA,NA
82,92,82,90670,0,8633,0,90670,238375638.842,137509.823281,0,0,238375638.842,1,15740,7810,0.375160051216389,0.263764404609475,0.149807938540333,0.088348271446863,0.108834827144686,0.0140845070422535,418747,NA,NA,NA,NA,NA,NA,NA,NA
83,52,83,90701,0,8634,0,90701,45073417.8776,44130.3007235,0,0,45073417.8776,1,15580,7350,0.446258503401361,0.253061224489796,0.13469387755102,0.073469387755102,0.0802721088435374,0.0122448979591837,333600,NA,NA,NA,NA,NA,NA,NA,NA
84,58,84,90703,0,8635,0,90703,246853319.56,124935.955319,0,0,246853319.56,1,48970,24100,0.294190871369295,0.193360995850622,0.137344398340249,0.10746887966805,0.200829875518672,0.066804979253112,1933680,NA,NA,NA,NA,NA,NA,NA,NA
85,5,85,90704,0,8636,0,90704,1738339569.81,308602.375372,0,0,3823319074.44872,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,66,86,90706,0,8637,0,90706,171753437.043,59248.4134006,0,0,171753437.043,1,72010,33570,0.427167113494191,0.27792672028597,0.137920762585642,0.0738754840631516,0.0750670241286863,0.00804289544235925,1447819,NA,NA,NA,NA,NA,NA,NA,NA
87,29,87,90710,0,8638,0,90710,72188005.1165,46693.5640351,94,94,72188005.1165,1,24310,11710,0.403928266438941,0.243381725021349,0.133219470538002,0.0828351836037575,0.116994022203245,0.0196413321947054,603034,437,2059,1605,3664,57534,0.138,0.322,9310
88,50,88,90713,0,8640,0,90713,97252834.4768,49883.6530259,0,0,97252834.4768,1,27590,13880,0.285302593659942,0.182276657060519,0.140489913544669,0.132564841498559,0.229827089337176,0.0295389048991354,971856,NA,NA,NA,NA,NA,NA,NA,NA
89,40,89,90715,0,8641,0,90715,47788928.277,42284.8473579,0,0,47788928.277,1,19520,9400,0.379787234042553,0.265957446808511,0.142553191489362,0.0936170212765957,0.109574468085106,0.00851063829787234,451742,NA,NA,NA,NA,NA,NA,NA,NA
